step,return_mean,return_std_lower,return_std_upper,cost_mean,cost_std_lower,cost_std_upper
1,169.63225247299525,145.2608493512667,194.0036555947238,5.776619279312933,2.008016247991718,9.545222310634148
1000,176.8971700606978,146.76387776645157,207.030462354944,7.190592840340935,3.2632596097163957,11.117926070965474
2000,179.9297324798054,147.96645906008627,211.89300589952455,8.767446639885355,4.928905878751973,12.605987401018737
3000,182.56946667856212,152.7707064544677,212.36822690265655,8.855864717121976,5.402001956575624,12.309727477668329
4000,197.7755399845268,163.610152161187,231.94092780786661,11.309621493754786,7.58389452607057,15.035348461439003
5000,213.26910186014703,180.1304390370309,246.40776468326317,12.644829562554968,8.876722584704382,16.412936540405553
6000,232.07391756618188,196.82242849411176,267.325406638252,12.937824343115414,9.07850785512673,16.797140831104098
7000,230.06131360845782,193.9450136778275,266.17761353908816,13.852718700958462,9.740765504060285,17.96467189785664
8000,254.36676282065207,212.4143174140357,296.3192082272684,15.16631155398207,11.228083996471549,19.104539111492592
9000,278.60759975232753,220.58431631722817,336.6308831874269,15.427451118609234,11.434740046821593,19.420162190396873
10000,298.7745793574812,231.3901288789782,366.15902983598414,16.36058750284081,12.434249792449183,20.28692521323244
11000,308.53467422177783,242.66468926430827,374.4046591792474,18.43429215238954,14.437806425609663,22.430777879169412
12000,303.9124488225538,242.62837858434065,365.19651906076695,19.46918190210102,14.803793156169913,24.134570648032128
13000,319.76139321145166,261.26809805734246,378.25468836556087,19.40357600510636,14.767506775966753,24.039645234245967
14000,302.30337972934115,248.5898567389794,356.0169027197029,19.50523878605054,14.908079698834943,24.10239787326614
15000,322.8224547469043,261.4051520845584,384.2397574092503,18.763203072615568,14.056202698496037,23.4702034467351
16000,320.67250400678574,258.6729475897939,382.67206042377757,19.387668533584986,14.328289105296877,24.447047961873096
17000,317.9825411451591,255.4390287534343,380.52605353688386,18.470827125862243,13.615177594293925,23.32647665743056
18000,311.4151001173283,250.31771301984298,372.5124872148136,19.122674404706615,14.558087015238742,23.68726179417449
19000,315.47214494915374,255.27376229427384,375.6705276040336,18.241606983290264,13.942088219257936,22.541125747322592
20000,359.0063106310266,284.9589028604558,433.05371840159745,18.362597666263014,14.51833152701375,22.206863805512278
21000,361.91447447703865,292.52927114105137,431.29967781302594,18.510875673687682,14.491937848743536,22.529813498631828
22000,336.8472429540488,271.8693238767229,401.8251620313747,17.769097535369745,13.954223657684645,21.583971413054847
23000,370.2360049813329,306.02983602493987,434.4421739377259,18.076084148598405,14.448130648164035,21.704037649032774
24000,354.28269205800024,284.47866908925766,424.0867150267428,17.662558618482556,13.961013043907723,21.36410419305739
