step,return_mean,return_std_lower,return_std_upper,cost_mean,cost_std_lower,cost_std_upper
1,-0.5340403263987665,-1.1404559065910318,0.07237525379349874,22.0,0.8182468462436603,43.18175315375634
400,-0.4144886925633375,-0.9925055959818772,0.16352821085520214,16.5,0.0,34.50449018069288
800,-1.0709729068097027,-2.0782226629837712,-0.06372315063563394,25.041666666666664,0.0,51.09350639429114
1200,-1.245603763571566,-2.361535027924826,-0.12967249921830581,44.53125,0.9604505958699718,88.10204940413003
1600,-3.1355644016168287,-5.854816214805916,-0.41631258842774166,33.731770833333336,0.0,71.04979303931847
2000,-2.967379552373654,-5.828324407114002,-0.10643469763330593,25.382161458333332,0.0,57.17319101153936
2400,-2.1252866560392354,-4.591306072937119,0.3407327608586481,24.369954427083332,0.0,55.91781294690236
2800,-2.136989757380538,-4.673525592714633,0.3995460779535569,18.360799153645832,0.0,45.247189573610655
3200,-1.417600632636722,-3.65797510569209,0.8227738404186462,32.020599365234375,0.0,70.35966973018986
3600,-0.8641979843540544,-2.868230190065347,1.1398342213572386,25.26544952392578,0.0,58.91431950591777
4000,-0.8218730838363603,-3.0088571887641526,1.3651110210914323,30.949087142944336,0.0,69.7329642767238
4400,-0.4775991689470607,-2.4144657765998647,1.4592674387057434,23.295148690541584,0.0,56.33215493237279
4800,-0.30078833165047625,-2.0418684034785866,1.4402917401776338,19.888028184572857,0.0,50.020093155570365
5200,-0.08431520214661486,-1.5973113597465542,1.4286809554533244,14.916021138429642,0.0,40.52827636377752
5600,-0.5843057723863269,-2.5663207310346055,1.3977091862619515,23.270349187155567,0.0,55.29381445590621
6000,-0.4820951825528351,-2.259043580426473,1.2948532153208028,17.452761890366673,0.0,44.67270736880472
6400,-0.5638785768626863,-2.2970155176105673,1.169258363885195,13.089571417775005,0.0,36.226525074447345
6800,-0.4260364419897532,-1.983543786847925,1.131470902868419,9.817178563331254,0.0,29.483589171502743
7200,-0.2757611844494272,-1.7213063058864257,1.1697839369875713,7.36288392249844,0.0,24.079332939444207
7600,-0.10062470148207343,-1.4092495429989405,1.2080001400347937,5.52216294187383,0.0,19.73114460627773
8000,0.0673864122984392,-1.0631845282151986,1.1979573528120768,4.141622206405373,0.0,16.219256621148688
8400,0.3694834357590117,-0.671471694952851,1.4104385664708745,9.939549988137362,0.0,26.00381484639887
8800,0.44286695088439054,-0.4612560149246545,1.3469899166934356,7.454662491103021,0.0,21.109287620625302
9200,0.43661396226506244,-0.38008882300576985,1.2533167475358948,5.590996868327266,0.0,17.197428228421206
9600,0.5632995940809535,-0.20902299186989048,1.3356221800317976,4.193247651245449,0.0,14.058714307325296
10000,0.567961469675125,-0.11292026750763673,1.2488432068578867,3.1449357384340866,0.0,11.530582396101956
10400,0.619279177696184,0.034018160681130394,1.2045401947112375,2.358701803825565,0.0,9.486501462843254
10800,0.6662161838820275,0.12296805026975155,1.2094643174943034,1.7690263528691739,0.0,7.827656063034209
11200,0.6448872960969875,0.11624925494482108,1.1735253372491539,1.3267697646518803,0.0,6.47660501829216
11600,0.5849221016329492,0.12435014630097563,1.0454940569649227,0.9950773234889103,0.0,5.372437289083148
12000,0.6447095399270614,0.2261877886600021,1.0632312911941206,0.7463079926166827,0.0,4.467063963371785
12400,0.7075719300429424,0.32718807992895654,1.0879557801569282,0.559730994462512,0.0,3.7223735696043487
12800,0.7977975673929949,0.4005992818638944,1.1949958529220954,10.919798245846884,0.5595249454496702,21.2800715462441
13200,1.0227819261001112,0.5063466168571655,1.5392172353430569,11.439848684385163,0.0,23.003797436350332
13600,1.1259140261498803,0.5517489532743448,1.700079099025416,11.913219846622207,0.0,24.571003410538786
14000,1.0550237688331725,0.5094797285777534,1.6005678090885915,8.934914884966656,0.0,19.69403091429575
14400,1.0580972266126112,0.5828375754148647,1.5333568778103577,29.61785283039166,6.970197012668489,52.26550864811483
14800,1.0330486231304095,0.5420030565542693,1.5240941897065496,22.213389622793745,2.9628821777290497,41.46389706785844
15200,1.0206572150709072,0.5439190839674867,1.497395346174328,19.99337555042864,0.8020170973774583,39.184734003479825
15600,0.9073310442830006,0.399727465306977,1.414934623259024,19.328364996154814,1.0779280735536965,37.57880191875593
16000,0.9246698585548899,0.46446051945528394,1.3848791976544959,41.66294041378278,6.195620903903205,77.13025992366235
16400,0.9719763356863209,0.5039799294893734,1.4399727418832684,31.580538643670415,1.1504743477981592,62.01060293954267
16800,1.2547568866812284,0.6952628971697415,1.8142508761927152,34.93540398275281,4.293344332834195,65.57746363267142
17200,1.4285437675032222,0.7694279666857361,2.087659568320708,30.20155298706461,2.441159464685562,57.961946509443656
17600,1.2996213435835027,0.7172866392995215,1.881956047867484,22.651164740298455,0.0,46.24749923432064
18000,1.2540042167565821,0.7349983434806503,1.773010090032514,19.571706888557173,0.0,41.82062223015433
18400,1.4893694262074697,0.88308912051614,2.095649731898799,15.095446833084546,0.0,34.360578264035404
18800,1.3378659381466544,0.7440652886404991,1.9316665876528099,11.32158512481341,0.0,27.696946841121637
19200,1.3490107268875584,0.8025207267907054,1.8955007269844115,21.407855510276725,0.0,46.07563382326829
19600,1.3072045488588033,0.8155184068213641,1.7988906908962425,20.97255829937421,0.0,45.11113186455863
20000,1.5225688858174569,0.8704996086379144,2.1746381629969993,16.896085391197325,0.0,38.40382241526525
20400,1.3716561879288338,0.7308960786554517,2.0124162972022157,13.005397376731327,0.0,31.569816559663682
20800,1.2369525776354353,0.592161784387473,1.8817433708833975,30.504048032548496,0.0,63.89076318958603
21200,1.4307185703365999,0.6978819698247261,2.1635551708484737,23.961369357744704,0.0,53.25931605676912
21600,1.3965056634442212,0.6640583584932706,2.128952968395172,24.637693684975197,0.0,55.19780262863833
22000,1.3879407297285595,0.7158976242614785,2.0599838351956405,20.144936930398064,0.0,46.98126205921599
22400,1.5124691103142918,0.7680531846421218,2.256885035986462,23.85870269779855,0.0,54.09420025975253
22800,1.596496789577256,0.7817937130950662,2.411199866059446,21.977360356682244,0.0,51.142356512157214
23200,1.5399034753814302,0.8342663859698487,2.2455405647930116,31.31635360084502,0.1747290654111282,62.45797813627891
23600,1.6559964763920405,0.9122500542351334,2.3997428985489475,39.3205985339671,2.8033276127631623,75.83786945517105
24000,1.7356051446363376,0.9092193646101971,2.561990924662478,36.32378223380866,0.0,73.1617381225617
24400,1.8406632959341351,1.013827036022671,2.667499555845599,28.826170008689825,0.0,61.48193539838435
24800,1.95258933006637,1.1077149449585182,2.7974637151742217,29.786294173184032,0.0,64.47334121005255
25200,1.777621441116578,0.9805242830783804,2.574718599154776,23.423053963221356,0.0,53.18988665703421
25600,1.849147696191947,1.0195016455195358,2.6787937468643586,17.56729047241602,0.0,42.869098262156946
26000,1.73756968482201,0.9895379703115557,2.485601399332464,13.175467854312014,0.0,34.6820044755918
26400,1.9201149451001243,1.1395792484710279,2.7006506417292204,13.88160089073401,0.0,35.34649368443996
26800,1.732517446093242,0.9489522939608935,2.5160825982255903,22.66120066805051,0.0,46.16421081484587
27200,1.6338506024168067,0.9233443936592209,2.3443568111743924,16.99590050103788,0.0,36.97345912581394
27600,1.5540738984947002,0.9456151202917078,2.1625326766976927,22.24692537577841,1.0874840615635257,43.40636668999329
28000,1.5100733398105153,0.9199375920051478,2.100209087615883,31.268527365167145,0.908633577319911,61.62842115301438
28400,1.6475617208895423,0.920429744097765,2.3746936976813195,25.70139552387536,0.0,53.108866981350204
28800,1.7971397416790227,1.052783472966684,2.541496010391361,23.192713309573186,0.0,48.517610325936886
29200,1.8163019543270764,1.1150787743405146,2.5175251343136384,19.727868315513224,0.0,43.2339297667447
29600,1.853698913714614,1.122981380944363,2.584416446484865,27.879234569968254,0.9965465704873573,54.761922569449155
30000,1.950979092886198,1.2202505057990334,2.681707679973363,24.659425927476192,0.0,50.69169124237442
30400,1.904316452821198,1.1971278247727917,2.6115050808696045,18.494569445607144,0.0,40.62199496327064
30800,1.8839980459369212,1.216621323821423,2.5513747680524195,16.87092708420536,0.0,38.224823186490894
31200,1.9669858411275492,1.2154140343350883,2.7185576479200098,12.653195313154018,0.0,30.804007000096725
31600,1.9418315810136333,1.1350832958337773,2.7485798661934893,26.739896484865515,0.0,56.80519678932835
32000,1.8642780160002437,1.0965203042676737,2.6320357277328137,20.221589030315805,0.0,45.918515645346524
32400,1.7378626606687793,1.0040354188676426,2.471689902469916,31.666191772736852,0.0,66.87794736860728
32800,1.7657022166799201,1.0991797262328882,2.4322247071269523,23.916310496219307,0.0,53.98772410894648
33200,1.694636787610856,0.8489954369923569,2.540278138229355,18.77056620549781,0.0,45.03837455750245
33600,1.7094168884414784,0.9290979205754901,2.4897358563074667,14.077924654123358,0.0,36.405561753327305
34000,1.6997873393090217,0.9827732229071717,2.4168014557108717,12.308443490592518,0.0,32.77185926540762
34400,1.7161243130775599,1.0278502686558821,2.404398357499238,9.731332617944389,0.0,27.549500095249154
34800,1.867766470876946,1.126639053760821,2.6088938879930708,9.965166130124958,0.0,27.37335018563096
35200,2.0305134423326936,1.2525868406293845,2.8084400440360024,7.473874597593719,0.0,22.27083104477382
35600,2.0834823615666145,1.2825132862017659,2.884451436931463,5.772072614861956,0.0,18.49090695120235
36000,2.197258951489313,1.3703701376669835,3.024147765311642,8.245721127813134,0.0,22.380132185279244
