step,return_mean,return_std_lower,return_std_upper,cost_mean,cost_std_lower,cost_std_upper
1,9.295214950423325,8.755065024045892,9.835364876800758,2.9389823691192847,2.0909181079542183,3.787046630284351
1000,57.816236157250295,56.192063973419806,59.44040834108078,18.66524649800126,17.654390800423673,19.676102195578846
2000,99.32575877605751,95.12690669433672,103.5246108577783,30.45061875040595,29.482767805601988,31.418469695209915
3000,140.10447456389738,130.48394653862286,149.7250025891719,38.72333396759025,37.798888076740724,39.647779858439776
4000,164.10979933621786,153.51287085478685,174.70672781764887,45.31665323805896,44.12262468967386,46.51068178644406
5000,300.8252607446535,240.73119803827458,360.9193234510325,44.86781892081609,42.18851799979466,47.54711984183752
6000,381.1429457318145,286.04391437919537,476.24197708443364,42.72568929432668,37.65624931666041,47.79512927199295
7000,342.51864941403204,256.3907775402712,428.6465212877929,48.9859375301926,43.78574725006063,54.18612781032457
8000,327.90943103416146,248.6316429055226,407.1872191628003,56.90751102456552,51.8162611331873,61.99876091594375
9000,312.1311796365972,240.9591770737631,383.3031821994313,62.13821182440002,57.651461461582976,66.62496218721705
10000,304.54820077975074,212.18590626256108,396.91049529694044,51.02906936612541,46.01573044561765,56.042408286633176
11000,388.7709792365956,256.029308375596,521.5126500975953,49.88080184629494,43.8885309661143,55.873072726475584
12000,434.7359091310095,298.93756549000136,570.5342527720177,53.721810444132515,45.37036712489028,62.07325376337475
13000,400.6508285545562,277.7702150593417,523.5314420497707,59.00899558419924,51.61863871231226,66.39935245608622
14000,359.47676426389694,243.73342990483823,475.2200986229557,58.28718326101054,51.44708574943957,65.1272807725815
15000,343.59210021515787,239.83555597362357,447.34864445669217,59.37386686441848,52.370951778164276,66.3767819506727
16000,352.9960428246627,245.05550294484993,460.9365827044755,64.41702290302337,57.39438537579177,71.43966043025496
17000,330.85915918045407,227.5737631265942,434.14455523431394,62.711960072406455,56.49669165238635,68.92722849242656
18000,330.70860734409644,238.9155334700768,422.50168121811606,61.06005371043169,54.802153936591765,67.31795348427161
19000,347.75500104665247,258.51006424162085,436.9999378516841,65.03145903650078,56.40640582855845,73.6565122444431
20000,371.9112917780655,282.2011749701582,461.6214085859728,63.887144119241796,53.737901836394066,74.03638640208953
21000,356.437375154146,275.4545008005812,437.4202495077109,64.67164437186196,55.092273108481805,74.25101563524211
22000,418.7126808624638,313.68048702897863,523.744874695949,65.63690034136106,55.98779476194373,75.28600592077838
23000,363.5470747297666,253.14791641157126,473.946233047962,58.0877716555205,46.57032774508893,69.60521556595207
24000,351.44321536533823,253.35332463049215,449.53310610018434,60.6433794216822,50.070077343146934,71.21668150021746
25000,344.170953349713,245.84341331122565,442.49849338820036,63.02399939548309,52.12290528936782,73.92509350159835
26000,345.2638283916099,253.8521618489017,436.67549493431807,66.96203267570385,56.32659727412613,77.59746807728158
27000,366.06266868583043,268.14436113824377,463.9809762334171,70.35326522072052,60.47917962639118,80.22735081504986
28000,369.3733264107694,273.5418438902029,465.20480893133583,68.07151240310385,57.0154301618488,79.12759464435891
29000,339.24164958844693,247.1677516564061,431.31554752048777,65.1072023801482,52.725582880851086,77.48882187944531
